"","year_month","Species","Abundance"
"172","2018 b","Variola louti",11
"173","2018 b","Zebrasoma desjardinii",14
"174","2018 b","Zebrasoma xanthurum",99
"175","2020 a","Abudefduf sexfasciatus",2
"176","2020 a","Abudefduf sordidus",1
"177","2020 a","Abudefduf vaigiensis",31
"178","2020 a","Acanthurus nigrofuscus",60
"179","2020 a","Aethaloperca rogaa",1
"180","2020 a","Amanses scopas",1
"181","2020 a","Amblyglyphidodon indicus",3
"182","2020 a","Amphiprion bicinctus",8
"183","2020 a","Anampses meleagrides",5
"184","2020 a","Anampses twistii",1
"185","2020 a","Arothron diadematus",3
"186","2020 a","Atrosalarias fuscus",2
"187","2020 a","Balistapus undulatus",6
"188","2020 a","Bodianus anthioides",4
"189","2020 a","Bodianus diana",1
"190","2020 a","Caesio lunaris",2
"191","2020 a","Calotomus viridescens",2
"192","2020 a","Cantherhines pardalis",3
"193","2020 a","Canthigaster cyanospilota",3
"194","2020 a","Canthigaster margaritata",1
"195","2020 a","Centropyge multispinis",12
"196","2020 a","Cephalopholis hemistiktos",22
"197","2020 a","Cephalopholis miniata",31
"198","2020 a","Chaetodon auriga",6
"199","2020 a","Chaetodon austriacus",11
"200","2020 a","Chaetodon fasciatus",6
"201","2020 a","Chaetodon paucifasciatus",28
"202","2020 a","Chaetodon trifascialis",2
"203","2020 a","Cheilinus abudjubbe",1
"204","2020 a","Cheilinus lunulatus",5
"205","2020 a","Cheilio inermis",1
"206","2020 a","Cheilodipterus lachneri",3
"207","2020 a","Cheilodipterus macrodon",10
"208","2020 a","Cheilodipterus novemstriatus",148
"209","2020 a","Cheilodipterus quinquelineatus",18
"210","2020 a","Chlorurus gibbus",2
"211","2020 a","Chlorurus sordidus",13
"212","2020 a","Chromis flavaxilla",7
"213","2020 a","Chromis viridis",1115
"214","2020 a","Chrysiptera unimaculata",1
"215","2020 a","Cirrhitichthys oxycephalus",1
"216","2020 a","Cirripectes castaneus",6
"217","2020 a","Coris aygula",32
"218","2020 a","Coris caudimacula",20
"219","2020 a","Coris variegata",1
"220","2020 a","Corythoichthys flavofasciatus",20
"221","2020 a","Corythoichthys nigripectus",2
"222","2020 a","Corythoichthys schultzi",21
"223","2020 a","Ctenochaetus striatus",45
"224","2020 a","Cyclichthys spilostylus",6
"225","2020 a","Dascyllus abudafur",4
"226","2020 a","Dascyllus marginatus",60
"227","2020 a","Dascyllus trimaculatus",73
"228","2020 a","Diplodus noct",4
"229","2020 a","Dunckerocampus multiannulatus",2
"230","2020 a","Ecsenius aroni",8
"231","2020 a","Ecsenius frontalis",19
"232","2020 a","Ecsenius gravieri",10
"233","2020 a","Ecsenius nalolo",7
"234","2020 a","Epinephelus fasciatus",34
"235","2020 a","Epinephelus tauvina",2
"236","2020 a","Eviota guttata",9
"237","2020 a","Eviota punyit",2
"238","2020 a","Fistularia commersonii",1
"239","2020 a","Fusigobius longispinus",1
"240","2020 a","Gnatholepis anjerensis",6
"241","2020 a","Gobiodon citrinus",21
"242","2020 a","Gobiodon reticulatus",8
"243","2020 a","Gobiodon rivulatus",6
"244","2020 a","Gomphosus caeruleus",15
"245","2020 a","Grammistes sexlineatus",6
"246","2020 a","Gymnothorax flavimarginatus",1
"247","2020 a","Gymnothorax griseus",1
"248","2020 a","Hemigymnus sexfasciatus",2
"249","2020 a","Heniochus intermedius",10
"250","2020 a","Hipposcarus harid",7
"251","2020 a","Hologymnosus annulatus",1
"252","2020 a","Inimicus filamentosus",1
"253","2020 a","Istigobius decoratus",42
"254","2020 a","Labroides dimidiatus",23
"255","2020 a","Larabicus quadrilineatus",7
"256","2020 a","Lethrinus borbonicus",2
"257","2020 a","Lethrinus mahsena",3
"258","2020 a","Lethrinus nebulosus",4
"259","2020 a","Meiacanthus nigrolineatus",4
"260","2020 a","Mulloidichthys flavolineatus",4
"261","2020 a","Myrichthys maculosus",1
"262","2020 a","Myripristis murdjan",10
"263","2020 a","Neoglyphidodon melas",2
"264","2020 a","Neopomacentrus miryae",812
"265","2020 a","Odonus niger",2
"266","2020 a","Ostorhinchus cyanosoma",108
"267","2020 a","Ostorhinchus nigrofasciatus",13
"268","2020 a","Ostracion cubicum",2
"269","2020 a","Ostracion cyanurus",5
"270","2020 a","Oxymonacanthus halli",2
"271","2020 a","Paracheilinus octotaenia",3
"272","2020 a","Parapercis hexophtalma",7
"273","2020 a","Parupeneus forsskali",20
"274","2020 a","Parupeneus macronemus",18
"275","2020 a","Plagiotremus tapeinosoma",1
"276","2020 a","Pomacanthus imperator",1
"277","2020 a","Pomacentrus sulfureus",18
"278","2020 a","Pomacentrus trichrourus",153
"279","2020 a","Pomacentrus trilineatus",2
"280","2020 a","Pristiapogon exostigma",1
"281","2020 a","Pseudanthias squamipinnis",2061
"282","2020 a","Pseudocheilinus evanidus",2
"283","2020 a","Pseudocheilinus hexataenia",24
"284","2020 a","Pseudochromis fridmani",24
"285","2020 a","Pseudochromis olivaceus",47
"286","2020 a","Pseudochromis springeri",29
"287","2020 a","Pterois miles",5
"288","2020 a","Pterois radiata",9
"289","2020 a","Pycnochromis dimidiatus",121
"290","2020 a","Rhinecanthus assasi",1
"291","2020 a","Sargocentron caudimaculatum",5
"292","2020 a","Sargocentron diadema",3
"293","2020 a","Sargocentron spiniferum",1
"294","2020 a","Saurida gracilis",2
"295","2020 a","Scarus ferrugineus",10
"296","2020 a","Scarus fuscopurpureus",3
"297","2020 a","Scarus niger",4
"298","2020 a","Sebastapistes cyanostigma",5
"299","2020 a","Siganus luridus",2
"300","2020 a","Siganus rivulatus",2
"301","2020 a","Stegastes lacrymatus",1
"302","2020 a","Stethojulis albovittata",3
"303","2020 a","Sufflamen albicaudatum",16
"304","2020 a","Synanceia verrucosa",1
"305","2020 a","Synodus variegatus",10
"306","2020 a","Thalassoma lunare",3
"307","2020 a","Thalassoma rueppellii",185
"308","2020 a","Trimma barralli",1
"309","2020 a","Tripterygiidae sp.",3
"310","2020 a","Tylosurus choram",1
"311","2020 a","Variola louti",17
"312","2020 a","Zebrasoma desjardinii",7
"313","2020 a","Zebrasoma xanthurum",71
"314","2020 b","Abudefduf sexfasciatus",2
"315","2020 b","Abudefduf vaigiensis",45
"316","2020 b","Acanthurus gahhm",1
"317","2020 b","Acanthurus nigrofuscus",102
"318","2020 b","Aethaloperca rogaa",3
"319","2020 b","Alloblennius pictus",7
"320","2020 b","Amanses scopas",2
"321","2020 b","Amblyeleotris steinitzi",1
"322","2020 b","Amblyglyphidodon flavilatus",8
"323","2020 b","Amblyglyphidodon indicus",103
"324","2020 b","Amblygobius albimaculatus",25
"325","2020 b","Amphiprion bicinctus",14
"326","2020 b","Anampses lineatus",1
"327","2020 b","Anampses meleagrides",4
"328","2020 b","Antennarius commerson",1
"329","2020 b","Arothron diadematus",1
"330","2020 b","Aspidontus dussumieri",1
"331","2020 b","Atrosalarias fuscus",11
"332","2020 b","Balistapus undulatus",6
"333","2020 b","Blenniella periophthalmus",2
"334","2020 b","Bodianus anthioides",8
"335","2020 b","Bodianus axillaris",1
"336","2020 b","Bodianus diana",3
"337","2020 b","Caesio lunaris",34
"338","2020 b","Calotomus viridescens",1
"339","2020 b","Cantherhines pardalis",1
"340","2020 b","Canthigaster cyanospilota",1
"341","2020 b","Canthigaster margaritata",1
"342","2020 b","Centropyge multispinis",15
"343","2020 b","Cephalopholis argus",3
"344","2020 b","Cephalopholis hemistiktos",30
"345","2020 b","Cephalopholis miniata",53
"346","2020 b","Cetoscarus bicolor",1
"347","2020 b","Chaetodon auriga",4
"348","2020 b","Chaetodon austriacus",11
"349","2020 b","Chaetodon fasciatus",6
"350","2020 b","Chaetodon paucifasciatus",20
"351","2020 b","Chaetodon trifascialis",3
"352","2020 b","Cheilinus lunulatus",4
"353","2020 b","Cheilodipterus lachneri",93
"354","2020 b","Cheilodipterus macrodon",1
"355","2020 b","Cheilodipterus novemstriatus",1942
"356","2020 b","Cheilodipterus quinquelineatus",1349
"357","2020 b","Chlorurus gibbus",7
"358","2020 b","Chlorurus sordidus",53
"359","2020 b","Chromis flavaxilla",79
"360","2020 b","Chromis viridis",2329
"361","2020 b","Chromis weberi",9
"362","2020 b","Chrysiptera unimaculata",2
"363","2020 b","Cirrhitichthys oxycephalus",2
"364","2020 b","Cirripectes castaneus",22
"365","2020 b","Coris aygula",10
"366","2020 b","Coris caudimacula",20
"367","2020 b","Coris variegata",1
"368","2020 b","Corythoichthys flavofasciatus",23
"369","2020 b","Corythoichthys nigripectus",1
"370","2020 b","Corythoichthys schultzi",12
"371","2020 b","Ctenochaetus striatus",64
"372","2020 b","Ctenogobiops maculosus",3
"373","2020 b","Cyclichthys spilostylus",8
"374","2020 b","Dascyllus abudafur",1
"375","2020 b","Dascyllus marginatus",175
"376","2020 b","Dascyllus trimaculatus",128
"377","2020 b","Ecsenius aroni",49
"378","2020 b","Ecsenius frontalis",98
"379","2020 b","Ecsenius gravieri",19
"380","2020 b","Ecsenius midas",1
"381","2020 b","Ecsenius nalolo",79
"382","2020 b","Enneapterygius pusillus",2
"383","2020 b","Epinephelus fasciatus",58
"384","2020 b","Epinephelus tauvina",7
"385","2020 b","Eviota guttata",284
"386","2020 b","Eviota prasina",1
"387","2020 b","Eviota punyit",74
"388","2020 b","Eviota zebrina",22
"389","2020 b","Exallias brevis",1
"390","2020 b","Fistularia commersonii",1
"391","2020 b","Fusigobius longispinus",3
"392","2020 b","Gerres oyena",20
"393","2020 b","Gnatholepis anjerensis",202
"394","2020 b","Gobiodon citrinus",28
"395","2020 b","Gobiodon reticulatus",45
"396","2020 b","Gobiodon rivulatus",13
"397","2020 b","Gomphosus caeruleus",60
"398","2020 b","Grammistes sexlineatus",4
"399","2020 b","Gymnothorax griseus",2
"400","2020 b","Gymnothorax nudivomer",2
"401","2020 b","Gymnothorax undulatus",1
"402","2020 b","Halichoeres hortulanus",3
"403","2020 b","Halichoeres marginatus",2
"404","2020 b","Haliophis sp.",1
"405","2020 b","Hemigymnus sexfasciatus",2
"406","2020 b","Heniochus intermedius",7
"407","2020 b","Hipposcarus harid",5
"408","2020 b","Hyporhamphus gamberur",1
"409","2020 b","Istigobius decoratus",440
"410","2020 b","Koumansetta hectori",3
"411","2020 b","Labroides dimidiatus",33
"412","2020 b","Larabicus quadrilineatus",71
"413","2020 b","Lethrinus borbonicus",10
"414","2020 b","Lethrinus mahsena",3
"415","2020 b","Lotilia graciliosa",2
"416","2020 b","Meiacanthus nigrolineatus",10
"417","2020 b","Monotaxis grandoculis",2
"418","2020 b","Mulloidichthys flavolineatus",101
"419","2020 b","Mulloidichthys vanicolensis",15
"420","2020 b","Myrichthys maculosus",2
"421","2020 b","Myripristis murdjan",36
"422","2020 b","Nectamia annularis",9
"423","2020 b","Nectamia zebrina",3
"424","2020 b","Neoglyphidodon melas",5
"425","2020 b","Neoniphon sammara",3
"426","2020 b","Neopomacentrus miryae",485
"427","2020 b","Ostorhinchus cyanosoma",2505
"428","2020 b","Ostorhinchus fleurieu",849
"429","2020 b","Ostorhinchus nigrofasciatus",28
"430","2020 b","Ostracion cubicum",7
"431","2020 b","Ostracion cyanurus",7
"432","2020 b","Oxycheilinus digramma",1
"433","2020 b","Oxymonacanthus halli",2
"434","2020 b","Papilloculiceps longiceps",1
"435","2020 b","Paracheilinus octotaenia",74
"436","2020 b","Paracirrhites forsteri",1
"437","2020 b","Paragobiodon echinocephalus",1
"438","2020 b","Parapercis hexophtalma",3
"439","2020 b","Parupeneus cyclostomus",20
"440","2020 b","Parupeneus forsskali",156
"441","2020 b","Parupeneus macronemus",57
"442","2020 b","Plagiotremus rhinorhynchos",1
"443","2020 b","Plagiotremus tapeinosoma",9
"444","2020 b","Pleurosicya micheli",13
"445","2020 b","Pomacanthus imperator",2
"446","2020 b","Pomacentrus sulfureus",40
"447","2020 b","Pomacentrus trichrourus",301
"448","2020 b","Pomacentrus trilineatus",4
"449","2020 b","Pristiapogon exostigma",90
"450","2020 b","Pseudanthias squamipinnis",3631
"451","2020 b","Pseudobalistes fuscus",3
"452","2020 b","Pseudocheilinus hexataenia",93
"453","2020 b","Pseudochromis flavivertex",1
"454","2020 b","Pseudochromis fridmani",88
"455","2020 b","Pseudochromis olivaceus",142
"456","2020 b","Pseudochromis pesi",1
"457","2020 b","Pseudochromis springeri",58
"458","2020 b","Pterois miles",47
"459","2020 b","Pterois radiata",8
"460","2020 b","Pycnochromis dimidiatus",232
"461","2020 b","Pygoplites diacanthus",3
"462","2020 b","Rhinecanthus assasi",3
"463","2020 b","Sargocentron caudimaculatum",14
"464","2020 b","Sargocentron diadema",33
"465","2020 b","Sargocentron rubrum",1
"466","2020 b","Saurida gracilis",31
"467","2020 b","Scarus ferrugineus",13
"468","2020 b","Scarus frenatus",2
"469","2020 b","Scarus fuscopurpureus",10
"470","2020 b","Scarus niger",7
"471","2020 b","Scarus spp.",1
"472","2020 b","Scolopsis ghanam",80
"473","2020 b","Scorpaenopsis diabolus",1
"474","2020 b","Sebastapistes cyanostigma",11
"475","2020 b","Siganus luridus",6
"476","2020 b","Siganus rivulatus",3
"477","2020 b","Spratelloides gracilis",1000
"478","2020 b","Stegastes lacrymatus",9
"479","2020 b","Stethojulis albovittata",6
"480","2020 b","Sufflamen albicaudatum",17
"481","2020 b","Synodus variegatus",108
"482","2020 b","Taeniura lymma",1
"483","2020 b","Thalassoma lunare",15
"484","2020 b","Thalassoma rueppellii",255
"485","2020 b","Torpedo panthera",1
"486","2020 b","Trimma avidori",6
"487","2020 b","Trimma barralli",3
"488","2020 b","Tripterygiidae sp.",3
"489","2020 b","Tylosurus choram",3
"490","2020 b","Variola louti",4
"491","2020 b","Zebrasoma desjardinii",8
"492","2020 b","Zebrasoma xanthurum",90
"493","2021 a","Abudefduf sexfasciatus",5
"494","2021 a","Abudefduf vaigiensis",101
"495","2021 a","Acanthurus nigrofuscus",68
"496","2021 a","Aethaloperca rogaa",2
"497","2021 a","Alloblennius pictus",15
"498","2021 a","Amblyglyphidodon flavilatus",8
"499","2021 a","Amblyglyphidodon indicus",9
"500","2021 a","Amphiprion bicinctus",18
"501","2021 a","Anampses meleagrides",1
"502","2021 a","Apolemichthys xanthotis",3
"503","2021 a","Arothron diadematus",4
"504","2021 a","Aspidontus tractus",4
"505","2021 a","Atrosalarias fuscus",10
"506","2021 a","Balistapus undulatus",1
"507","2021 a","Bodianus anthioides",5
"508","2021 a","Bodianus axillaris",1
"509","2021 a","Calotomus viridescens",10
"510","2021 a","Cantherhines pardalis",6
"511","2021 a","Canthigaster cyanospilota",2
"512","2021 a","Centropyge multispinis",14
"513","2021 a","Cephalopholis hemistiktos",31
"514","2021 a","Cephalopholis miniata",37
"515","2021 a","Cetoscarus bicolor",2
"516","2021 a","Chaetodon auriga",2
"517","2021 a","Chaetodon austriacus",19
"518","2021 a","Chaetodon fasciatus",13
"519","2021 a","Chaetodon paucifasciatus",19
"520","2021 a","Chaetodon trifascialis",7
"521","2021 a","Cheilinus abudjubbe",4
"522","2021 a","Cheilinus lunulatus",13
"523","2021 a","Cheilodipterus lachneri",163
"524","2021 a","Cheilodipterus novemstriatus",622
"525","2021 a","Cheilodipterus quinquelineatus",184
"526","2021 a","Chlorurus gibbus",1
"527","2021 a","Chlorurus sordidus",5
"528","2021 a","Chromis flavaxilla",95
"529","2021 a","Chromis ternatensis",21
"530","2021 a","Chromis viridis",3302
"531","2021 a","Chromis weberi",44
"532","2021 a","Cirrhitichthys oxycephalus",4
"533","2021 a","Cirripectes castaneus",38
"534","2021 a","Coris aygula",63
"535","2021 a","Coris caudimacula",18
"536","2021 a","Coris variegata",1
"537","2021 a","Corythoichthys flavofasciatus",21
"538","2021 a","Corythoichthys nigripectus",2
"539","2021 a","Corythoichthys schultzi",13
"540","2021 a","Ctenochaetus striatus",62
"541","2021 a","Cyclichthys spilostylus",9
"542","2021 a","Dascyllus abudafur",5
"543","2021 a","Dascyllus marginatus",75
"544","2021 a","Dascyllus trimaculatus",93
"545","2021 a","Decapterus macarellus",4
"546","2021 a","Diplodus noct",3
"547","2021 a","Dunckerocampus multiannulatus",1
"548","2021 a","Ecsenius aroni",40
"549","2021 a","Ecsenius frontalis",187
"550","2021 a","Ecsenius gravieri",44
"551","2021 a","Ecsenius nalolo",144
"552","2021 a","Epinephelus fasciatus",54
"553","2021 a","Epinephelus tauvina",7
"554","2021 a","Eviota guttata",263
"555","2021 a","Eviota prasina",17
"556","2021 a","Eviota punyit",20
"557","2021 a","Eviota zebrina",12
"558","2021 a","Fistularia commersonii",1
"559","2021 a","Fusigobius longispinus",1
"560","2021 a","Fusigobius neophytus",10
"561","2021 a","Gerres oyena",11
"562","2021 a","Gnatholepis anjerensis",64
"563","2021 a","Gobiodon citrinus",18
"564","2021 a","Gobiodon reticulatus",40
"565","2021 a","Gobiodon rivulatus",14
"566","2021 a","Gomphosus caeruleus",28
"567","2021 a","Grammistes sexlineatus",2
"568","2021 a","Gymnothorax flavimarginatus",3
"569","2021 a","Gymnothorax griseus",4
"570","2021 a","Gymnothorax nudivomer",3
"571","2021 a","Gymnothorax undulatus",3
"572","2021 a","Halichoeres hortulanus",1
"573","2021 a","Hemigymnus sexfasciatus",1
"574","2021 a","Heniochus intermedius",11
"575","2021 a","Hipposcarus harid",4
"576","2021 a","Hologymnosus annulatus",6
"577","2021 a","Istigobius decoratus",60
"578","2021 a","Kyphosus vaigiensis",1
"579","2021 a","Labroides dimidiatus",20
"580","2021 a","Larabicus quadrilineatus",5
"581","2021 a","Lethrinus borbonicus",2
"582","2021 a","Lethrinus mahsena",3
"583","2021 a","Lethrinus obsoletus",2
"584","2021 a","Lotilia graciliosa",5
"585","2021 a","Macropharyngodon marisrubri",2
"586","2021 a","Meiacanthus nigrolineatus",53
"587","2021 a","Mimoblennius cirrosus",1
"588","2021 a","Monotaxis grandoculis",2
"589","2021 a","Mulloidichthys flavolineatus",4
"590","2021 a","Myripristis murdjan",19
"591","2021 a","Neoglyphidodon melas",7
"592","2021 a","Neoniphon sammara",2
"593","2021 a","Neopomacentrus miryae",1766
"594","2021 a","Ostorhinchus cyanosoma",1200
"595","2021 a","Ostorhinchus fleurieu",59
"596","2021 a","Ostorhinchus nigrofasciatus",130
"597","2021 a","Ostracion cubicum",2
"598","2021 a","Ostracion cyanurus",5
"599","2021 a","Paracheilinus octotaenia",12
"600","2021 a","Paracirrhites forsteri",2
"601","2021 a","Parapercis hexophtalma",2
"602","2021 a","Parupeneus cyclostomus",15
"603","2021 a","Parupeneus forsskali",110
"604","2021 a","Parupeneus macronemus",36
"605","2021 a","Pervagor randalli",1
"606","2021 a","Petroscirtes mitratus",1
"607","2021 a","Plagiotremus rhinorhynchos",6
"608","2021 a","Plagiotremus tapeinosoma",21
"609","2021 a","Plagiotremus townsendi",7
"610","2021 a","Pleurosicya micheli",14
"611","2021 a","Pomacanthus imperator",1
"612","2021 a","Pomacentrus sulfureus",56
"613","2021 a","Pomacentrus trichrourus",1160
"614","2021 a","Pomacentrus trilineatus",32
"615","2021 a","Pristiapogon exostigma",72
"616","2021 a","Pseudanthias squamipinnis",6391
"617","2021 a","Pseudocheilinus hexataenia",103
"618","2021 a","Pseudochromis fridmani",118
"619","2021 a","Pseudochromis olivaceus",105
"620","2021 a","Pseudochromis springeri",46
"621","2021 a","Pteragogus cryptus",1
"622","2021 a","Pterois miles",22
"623","2021 a","Pterois radiata",5
"624","2021 a","Pycnochromis dimidiatus",397
"625","2021 a","Rhinecanthus assasi",1
"626","2021 a","Sargocentron caudimaculatum",11
"627","2021 a","Sargocentron diadema",8
"628","2021 a","Saurida gracilis",6
"629","2021 a","Scarus ferrugineus",10
"630","2021 a","Scarus frenatus",1
"631","2021 a","Scarus fuscopurpureus",9
"632","2021 a","Scarus ghobban",2
"633","2021 a","Scarus niger",12
"634","2021 a","Scolopsis ghanam",10
"635","2021 a","Scorpaenodes parvipinnis",13
"636","2021 a","Scuticaria tigrina",1
"637","2021 a","Sebastapistes cyanostigma",27
"638","2021 a","Siganus argenteus",2
"639","2021 a","Siganus luridus",14
"640","2021 a","Siganus rivulatus",5
"641","2021 a","Stegastes lacrymatus",8
"642","2021 a","Stethojulis albovittata",13
"643","2021 a","Sufflamen albicaudatum",7
"644","2021 a","Synodus variegatus",131
"645","2021 a","Taeniamia fucata",89
"646","2021 a","Thalassoma lunare",8
"647","2021 a","Thalassoma rueppellii",922
"648","2021 a","Trimma avidori",15
"649","2021 a","Trimma barralli",4
"650","2021 a","Trimma flavicaudatum",2
