"","Site","year_month","Species","Abundance"
"89","Caves","2018 b","Scolopsis ghanam",7
"90","Caves","2018 b","Sebastapistes cyanostigma",2
"91","Caves","2018 b","Siganus argenteus",2
"92","Caves","2018 b","Siganus luridus",2
"93","Caves","2018 b","Siganus rivulatus",8
"94","Caves","2018 b","Stegastes lacrymatus",1
"95","Caves","2018 b","Stethojulis albovittata",6
"96","Caves","2018 b","Sufflamen albicaudatum",4
"97","Caves","2018 b","Taeniura lymma",1
"98","Caves","2018 b","Thalassoma rueppellii",64
"99","Caves","2018 b","Trimma avidori",5
"100","Caves","2018 b","Variola louti",1
"101","Caves","2018 b","Zebrasoma desjardinii",3
"102","Caves","2018 b","Zebrasoma xanthurum",10
"103","Caves","2020 a","Abudefduf sexfasciatus",1
"104","Caves","2020 a","Abudefduf vaigiensis",1
"105","Caves","2020 a","Acanthurus nigrofuscus",17
"106","Caves","2020 a","Amanses scopas",1
"107","Caves","2020 a","Amphiprion bicinctus",1
"108","Caves","2020 a","Anampses twistii",1
"109","Caves","2020 a","Atrosalarias fuscus",2
"110","Caves","2020 a","Balistapus undulatus",1
"111","Caves","2020 a","Caesio lunaris",2
"112","Caves","2020 a","Calotomus viridescens",1
"113","Caves","2020 a","Canthigaster cyanospilota",3
"114","Caves","2020 a","Centropyge multispinis",1
"115","Caves","2020 a","Cephalopholis hemistiktos",6
"116","Caves","2020 a","Chaetodon auriga",2
"117","Caves","2020 a","Chaetodon austriacus",2
"118","Caves","2020 a","Chaetodon fasciatus",1
"119","Caves","2020 a","Chaetodon paucifasciatus",6
"120","Caves","2020 a","Cheilinus abudjubbe",1
"121","Caves","2020 a","Cheilinus lunulatus",1
"122","Caves","2020 a","Cheilio inermis",1
"123","Caves","2020 a","Chlorurus gibbus",1
"124","Caves","2020 a","Chlorurus sordidus",1
"125","Caves","2020 a","Chromis viridis",3
"126","Caves","2020 a","Coris aygula",7
"127","Caves","2020 a","Ctenochaetus striatus",6
"128","Caves","2020 a","Cyclichthys spilostylus",3
"129","Caves","2020 a","Dascyllus trimaculatus",21
"130","Caves","2020 a","Ecsenius aroni",3
"131","Caves","2020 a","Ecsenius frontalis",2
"132","Caves","2020 a","Ecsenius gravieri",2
"133","Caves","2020 a","Ecsenius nalolo",3
"134","Caves","2020 a","Epinephelus fasciatus",5
"135","Caves","2020 a","Eviota guttata",4
"136","Caves","2020 a","Fistularia commersonii",1
"137","Caves","2020 a","Gobiodon citrinus",3
"138","Caves","2020 a","Gobiodon rivulatus",2
"139","Caves","2020 a","Gymnothorax griseus",1
"140","Caves","2020 a","Hemigymnus sexfasciatus",1
"141","Caves","2020 a","Heniochus intermedius",3
"142","Caves","2020 a","Hipposcarus harid",2
"143","Caves","2020 a","Inimicus filamentosus",1
"144","Caves","2020 a","Labroides dimidiatus",2
"145","Caves","2020 a","Larabicus quadrilineatus",2
"146","Caves","2020 a","Lethrinus borbonicus",1
"147","Caves","2020 a","Myrichthys maculosus",1
"148","Caves","2020 a","Myripristis murdjan",7
"149","Caves","2020 a","Neopomacentrus miryae",73
"150","Caves","2020 a","Ostracion cubicum",1
"151","Caves","2020 a","Ostracion cyanurus",1
"152","Caves","2020 a","Paracheilinus octotaenia",1
"153","Caves","2020 a","Parapercis hexophtalma",2
"154","Caves","2020 a","Parupeneus forsskali",2
"155","Caves","2020 a","Parupeneus macronemus",1
"156","Caves","2020 a","Pomacentrus sulfureus",2
"157","Caves","2020 a","Pomacentrus trichrourus",13
"158","Caves","2020 a","Pseudanthias squamipinnis",173
"159","Caves","2020 a","Pseudocheilinus hexataenia",1
"160","Caves","2020 a","Pseudochromis fridmani",4
"161","Caves","2020 a","Pseudochromis olivaceus",1
"162","Caves","2020 a","Pseudochromis springeri",2
"163","Caves","2020 a","Pterois radiata",3
"164","Caves","2020 a","Pycnochromis dimidiatus",16
"165","Caves","2020 a","Rhinecanthus assasi",1
"166","Caves","2020 a","Sargocentron caudimaculatum",2
"167","Caves","2020 a","Scarus fuscopurpureus",1
"168","Caves","2020 a","Scarus niger",1
"169","Caves","2020 a","Siganus luridus",1
"170","Caves","2020 a","Sufflamen albicaudatum",7
"171","Caves","2020 a","Thalassoma rueppellii",44
"172","Caves","2020 a","Tripterygiidae sp.",2
"173","Caves","2020 a","Variola louti",1
"174","Caves","2020 a","Zebrasoma desjardinii",3
"175","Caves","2020 a","Zebrasoma xanthurum",10
"176","Caves","2020 b","Abudefduf vaigiensis",5
"177","Caves","2020 b","Acanthurus nigrofuscus",12
"178","Caves","2020 b","Alloblennius pictus",1
"179","Caves","2020 b","Amblyglyphidodon indicus",21
"180","Caves","2020 b","Amblygobius albimaculatus",2
"181","Caves","2020 b","Amphiprion bicinctus",2
"182","Caves","2020 b","Anampses lineatus",1
"183","Caves","2020 b","Atrosalarias fuscus",1
"184","Caves","2020 b","Balistapus undulatus",1
"185","Caves","2020 b","Caesio lunaris",2
"186","Caves","2020 b","Cephalopholis hemistiktos",7
"187","Caves","2020 b","Chaetodon auriga",1
"188","Caves","2020 b","Chaetodon austriacus",3
"189","Caves","2020 b","Chaetodon paucifasciatus",2
"190","Caves","2020 b","Cheilodipterus novemstriatus",129
"191","Caves","2020 b","Cheilodipterus quinquelineatus",191
"192","Caves","2020 b","Chlorurus sordidus",1
"193","Caves","2020 b","Chromis viridis",1
"194","Caves","2020 b","Coris caudimacula",3
"195","Caves","2020 b","Ctenochaetus striatus",8
"196","Caves","2020 b","Dascyllus marginatus",41
"197","Caves","2020 b","Dascyllus trimaculatus",18
"198","Caves","2020 b","Ecsenius aroni",16
"199","Caves","2020 b","Ecsenius frontalis",19
"200","Caves","2020 b","Ecsenius gravieri",2
"201","Caves","2020 b","Ecsenius nalolo",22
"202","Caves","2020 b","Epinephelus fasciatus",12
"203","Caves","2020 b","Epinephelus tauvina",3
"204","Caves","2020 b","Eviota guttata",72
"205","Caves","2020 b","Eviota punyit",18
"206","Caves","2020 b","Eviota zebrina",4
"207","Caves","2020 b","Fistularia commersonii",1
"208","Caves","2020 b","Gnatholepis anjerensis",45
"209","Caves","2020 b","Gobiodon reticulatus",12
"210","Caves","2020 b","Gobiodon rivulatus",4
"211","Caves","2020 b","Gomphosus caeruleus",6
"212","Caves","2020 b","Gymnothorax nudivomer",1
"213","Caves","2020 b","Hemigymnus sexfasciatus",2
"214","Caves","2020 b","Istigobius decoratus",46
"215","Caves","2020 b","Koumansetta hectori",1
"216","Caves","2020 b","Labroides dimidiatus",1
"217","Caves","2020 b","Larabicus quadrilineatus",18
"218","Caves","2020 b","Lethrinus borbonicus",1
"219","Caves","2020 b","Monotaxis grandoculis",1
"220","Caves","2020 b","Myripristis murdjan",6
"221","Caves","2020 b","Nectamia annularis",2
"222","Caves","2020 b","Neoglyphidodon melas",1
"223","Caves","2020 b","Neopomacentrus miryae",10
"224","Caves","2020 b","Ostorhinchus cyanosoma",120
"225","Caves","2020 b","Ostorhinchus fleurieu",3
"226","Caves","2020 b","Ostorhinchus nigrofasciatus",1
"227","Caves","2020 b","Ostracion cubicum",2
"228","Caves","2020 b","Ostracion cyanurus",2
"229","Caves","2020 b","Oxycheilinus digramma",1
"230","Caves","2020 b","Papilloculiceps longiceps",1
"231","Caves","2020 b","Paracheilinus octotaenia",7
"232","Caves","2020 b","Parapercis hexophtalma",2
"233","Caves","2020 b","Parupeneus forsskali",12
"234","Caves","2020 b","Parupeneus macronemus",6
"235","Caves","2020 b","Plagiotremus tapeinosoma",2
"236","Caves","2020 b","Pleurosicya micheli",1
"237","Caves","2020 b","Pomacanthus imperator",1
"238","Caves","2020 b","Pomacentrus sulfureus",2
"239","Caves","2020 b","Pomacentrus trichrourus",43
"240","Caves","2020 b","Pomacentrus trilineatus",1
"241","Caves","2020 b","Pristiapogon exostigma",27
"242","Caves","2020 b","Pseudanthias squamipinnis",126
"243","Caves","2020 b","Pseudocheilinus hexataenia",4
"244","Caves","2020 b","Pseudochromis fridmani",16
"245","Caves","2020 b","Pseudochromis olivaceus",12
"246","Caves","2020 b","Pseudochromis springeri",2
"247","Caves","2020 b","Pterois miles",8
"248","Caves","2020 b","Pycnochromis dimidiatus",27
"249","Caves","2020 b","Sargocentron caudimaculatum",4
"250","Caves","2020 b","Saurida gracilis",2
"251","Caves","2020 b","Scarus ferrugineus",1
"252","Caves","2020 b","Scolopsis ghanam",4
"253","Caves","2020 b","Siganus luridus",2
"254","Caves","2020 b","Stethojulis albovittata",3
"255","Caves","2020 b","Sufflamen albicaudatum",3
"256","Caves","2020 b","Synodus variegatus",31
"257","Caves","2020 b","Thalassoma lunare",1
"258","Caves","2020 b","Thalassoma rueppellii",38
"259","Caves","2020 b","Trimma avidori",2
"260","Caves","2020 b","Variola louti",1
"261","Caves","2020 b","Zebrasoma xanthurum",3
"262","Caves","2021 a","Abudefduf sexfasciatus",4
"263","Caves","2021 a","Abudefduf vaigiensis",9
"264","Caves","2021 a","Acanthurus nigrofuscus",10
"265","Caves","2021 a","Alloblennius pictus",10
"266","Caves","2021 a","Amphiprion bicinctus",8
"267","Caves","2021 a","Apolemichthys xanthotis",1
"268","Caves","2021 a","Arothron diadematus",1
"269","Caves","2021 a","Calotomus viridescens",2
"270","Caves","2021 a","Cantherhines pardalis",1
"271","Caves","2021 a","Canthigaster cyanospilota",2
"272","Caves","2021 a","Centropyge multispinis",1
"273","Caves","2021 a","Cephalopholis hemistiktos",8
"274","Caves","2021 a","Cephalopholis miniata",1
"275","Caves","2021 a","Cetoscarus bicolor",2
"276","Caves","2021 a","Chaetodon fasciatus",4
"277","Caves","2021 a","Chaetodon paucifasciatus",10
"278","Caves","2021 a","Cheilinus lunulatus",7
"279","Caves","2021 a","Cheilodipterus novemstriatus",3
"280","Caves","2021 a","Cheilodipterus quinquelineatus",6
"281","Caves","2021 a","Chromis flavaxilla",8
"282","Caves","2021 a","Chromis ternatensis",5
"283","Caves","2021 a","Chromis weberi",9
"284","Caves","2021 a","Cirripectes castaneus",10
"285","Caves","2021 a","Coris aygula",13
"286","Caves","2021 a","Coris caudimacula",8
"287","Caves","2021 a","Ctenochaetus striatus",12
"288","Caves","2021 a","Cyclichthys spilostylus",1
"289","Caves","2021 a","Dascyllus marginatus",4
"290","Caves","2021 a","Dascyllus trimaculatus",22
"291","Caves","2021 a","Ecsenius aroni",9
"292","Caves","2021 a","Ecsenius frontalis",33
"293","Caves","2021 a","Ecsenius gravieri",9
"294","Caves","2021 a","Ecsenius nalolo",36
"295","Caves","2021 a","Epinephelus fasciatus",8
"296","Caves","2021 a","Epinephelus tauvina",2
"297","Caves","2021 a","Eviota guttata",128
"298","Caves","2021 a","Eviota prasina",8
"299","Caves","2021 a","Eviota punyit",4
"300","Caves","2021 a","Eviota zebrina",4
"301","Caves","2021 a","Fusigobius neophytus",1
"302","Caves","2021 a","Gnatholepis anjerensis",12
"303","Caves","2021 a","Gobiodon citrinus",1
"304","Caves","2021 a","Gobiodon reticulatus",4
"305","Caves","2021 a","Gomphosus caeruleus",4
"306","Caves","2021 a","Gymnothorax flavimarginatus",2
"307","Caves","2021 a","Gymnothorax griseus",1
"308","Caves","2021 a","Gymnothorax nudivomer",1
"309","Caves","2021 a","Gymnothorax undulatus",1
"310","Caves","2021 a","Heniochus intermedius",1
"311","Caves","2021 a","Istigobius decoratus",7
"312","Caves","2021 a","Larabicus quadrilineatus",1
"313","Caves","2021 a","Lethrinus borbonicus",1
"314","Caves","2021 a","Lotilia graciliosa",1
"315","Caves","2021 a","Macropharyngodon marisrubri",1
"316","Caves","2021 a","Meiacanthus nigrolineatus",4
"317","Caves","2021 a","Myripristis murdjan",6
"318","Caves","2021 a","Neopomacentrus miryae",143
"319","Caves","2021 a","Ostorhinchus cyanosoma",96
"320","Caves","2021 a","Ostorhinchus fleurieu",23
"321","Caves","2021 a","Ostorhinchus nigrofasciatus",54
"322","Caves","2021 a","Ostracion cyanurus",1
"323","Caves","2021 a","Parupeneus cyclostomus",2
"324","Caves","2021 a","Parupeneus forsskali",12
"325","Caves","2021 a","Parupeneus macronemus",7
"326","Caves","2021 a","Plagiotremus tapeinosoma",3
"327","Caves","2021 a","Pleurosicya micheli",8
"328","Caves","2021 a","Pomacentrus sulfureus",15
"329","Caves","2021 a","Pomacentrus trichrourus",235
"330","Caves","2021 a","Pomacentrus trilineatus",15
"331","Caves","2021 a","Pristiapogon exostigma",2
"332","Caves","2021 a","Pseudanthias squamipinnis",645
"333","Caves","2021 a","Pseudocheilinus hexataenia",23
"334","Caves","2021 a","Pseudochromis fridmani",34
"335","Caves","2021 a","Pseudochromis olivaceus",12
"336","Caves","2021 a","Pterois miles",2
"337","Caves","2021 a","Pterois radiata",1
"338","Caves","2021 a","Pycnochromis dimidiatus",73
"339","Caves","2021 a","Rhinecanthus assasi",1
"340","Caves","2021 a","Sargocentron caudimaculatum",3
"341","Caves","2021 a","Scorpaenodes parvipinnis",11
"342","Caves","2021 a","Sebastapistes cyanostigma",3
"343","Caves","2021 a","Siganus luridus",5
"344","Caves","2021 a","Stegastes lacrymatus",1
"345","Caves","2021 a","Stethojulis albovittata",1
"346","Caves","2021 a","Sufflamen albicaudatum",4
"347","Caves","2021 a","Synodus variegatus",15
"348","Caves","2021 a","Thalassoma rueppellii",206
"349","Caves","2021 a","Trimma avidori",3
"350","Caves","2021 a","Trimma barralli",1
"351","Caves","2021 a","Trimma flavicaudatum",2
"352","Caves","2021 a","Tripterygiidae sp.",6
"353","Caves","2021 a","Variola louti",1
"354","Caves","2021 a","Zebrasoma xanthurum",9
"355","Caves","2022 b","Abudefduf vaigiensis",1
"356","Caves","2022 b","Acanthurus nigrofuscus",9
"357","Caves","2022 b","Alloblennius pictus",1
"358","Caves","2022 b","Amblyglyphidodon indicus",47
"359","Caves","2022 b","Amphiprion bicinctus",2
"360","Caves","2022 b","Bodianus anthioides",1
"361","Caves","2022 b","Caesio varilineata",1
"362","Caves","2022 b","Calotomus viridescens",1
"363","Caves","2022 b","Canthigaster cyanospilota",2
"364","Caves","2022 b","Centropyge multispinis",3
"365","Caves","2022 b","Cephalopholis hemistiktos",6
"366","Caves","2022 b","Chaetodon austriacus",1
"367","Caves","2022 b","Chaetodon fasciatus",2
"368","Caves","2022 b","Chaetodon paucifasciatus",1
"369","Caves","2022 b","Cheilinus abudjubbe",1
"370","Caves","2022 b","Cheilinus lunulatus",7
"371","Caves","2022 b","Cheilodipterus lachneri",1
"372","Caves","2022 b","Cheilodipterus macrodon",1
"373","Caves","2022 b","Cheilodipterus novemstriatus",90
"374","Caves","2022 b","Cheilodipterus quinquelineatus",5
"375","Caves","2022 b","Chlorurus gibbus",2
"376","Caves","2022 b","Chlorurus sordidus",3
"377","Caves","2022 b","Chromis flavaxilla",4
"378","Caves","2022 b","Chromis viridis",74
"379","Caves","2022 b","Chrysiptera unimaculata",1
"380","Caves","2022 b","Coris aygula",2
"381","Caves","2022 b","Ctenochaetus striatus",5
"382","Caves","2022 b","Cyclichthys spilostylus",2
"383","Caves","2022 b","Dascyllus marginatus",8
"384","Caves","2022 b","Dascyllus trimaculatus",22
"385","Caves","2022 b","Ecsenius frontalis",5
"386","Caves","2022 b","Ecsenius nalolo",2
"387","Caves","2022 b","Enneapterygius pusillus",3
"388","Caves","2022 b","Epinephelus fasciatus",13
"389","Caves","2022 b","Epinephelus tauvina",1
"390","Caves","2022 b","Eviota guttata",40
"391","Caves","2022 b","Eviota punyit",7
"392","Caves","2022 b","Eviota zebrina",6
"393","Caves","2022 b","Fusigobius neophytus",20
"394","Caves","2022 b","Gnatholepis anjerensis",75
"395","Caves","2022 b","Gobiodon citrinus",1
"396","Caves","2022 b","Gomphosus caeruleus",3
"397","Caves","2022 b","Gymnothorax griseus",2
"398","Caves","2022 b","Halichoeres hortulanus",2
"399","Caves","2022 b","Hemigymnus sexfasciatus",1
"400","Caves","2022 b","Heniochus intermedius",3
"401","Caves","2022 b","Istigobius decoratus",5
"402","Caves","2022 b","Labroides dimidiatus",2
"403","Caves","2022 b","Larabicus quadrilineatus",5
"404","Caves","2022 b","Lethrinus borbonicus",2
"405","Caves","2022 b","Lethrinus mahsena",3
"406","Caves","2022 b","Meiacanthus nigrolineatus",1
"407","Caves","2022 b","Myripristis murdjan",1
"408","Caves","2022 b","Ostorhinchus cyanosoma",51
"409","Caves","2022 b","Ostorhinchus nigrofasciatus",2
"410","Caves","2022 b","Parupeneus cyclostomus",2
"411","Caves","2022 b","Parupeneus forsskali",6
"412","Caves","2022 b","Parupeneus macronemus",1
"413","Caves","2022 b","Pleurosicya micheli",4
"414","Caves","2022 b","Pomacanthus imperator",1
"415","Caves","2022 b","Pomacentrus sulfureus",9
"416","Caves","2022 b","Pomacentrus trichrourus",36
"417","Caves","2022 b","Pseudanthias squamipinnis",80
"418","Caves","2022 b","Pseudocheilinus hexataenia",7
"419","Caves","2022 b","Pseudochromis fridmani",18
"420","Caves","2022 b","Pseudochromis olivaceus",10
"421","Caves","2022 b","Pseudochromis springeri",1
"422","Caves","2022 b","Pterois miles",1
"423","Caves","2022 b","Pterois radiata",3
"424","Caves","2022 b","Pycnochromis dimidiatus",30
"425","Caves","2022 b","Sargocentron caudimaculatum",2
"426","Caves","2022 b","Scarus ferrugineus",4
"427","Caves","2022 b","Scarus fuscopurpureus",1
"428","Caves","2022 b","Siganus luridus",4
"429","Caves","2022 b","Siganus rivulatus",2
"430","Caves","2022 b","Sufflamen albicaudatum",6
"431","Caves","2022 b","Thalassoma lunare",5
"432","Caves","2022 b","Thalassoma rueppellii",43
"433","Caves","2022 b","Trimma avidori",6
"434","Caves","2022 b","Trimma barralli",1
"435","Caves","2022 b","Tripterygiidae sp.",1
"436","Caves","2022 b","Variola louti",1
"437","Caves","2022 b","Zebrasoma desjardinii",3
"438","Caves","2022 b","Zebrasoma xanthurum",12
"439","Katza","2018 b","Abudefduf vaigiensis",32
"440","Katza","2018 b","Acanthurus nigrofuscus",54
"441","Katza","2018 b","Amblyeleotris steinitzi",1
"442","Katza","2018 b","Amblyeleotris sungami",1
"443","Katza","2018 b","Amblyglyphidodon flavilatus",21
"444","Katza","2018 b","Amblyglyphidodon indicus",59
"445","Katza","2018 b","Amblygobius albimaculatus",3
"446","Katza","2018 b","Amphiprion bicinctus",8
"447","Katza","2018 b","Anampses twistii",1
"448","Katza","2018 b","Atherinomorus lacunosus",100
"449","Katza","2018 b","Atrosalarias fuscus",6
"450","Katza","2018 b","Balistapus undulatus",1
"451","Katza","2018 b","Cantherhines pardalis",2
"452","Katza","2018 b","Canthigaster margaritata",1
"453","Katza","2018 b","Canthigaster pygmaea",4
"454","Katza","2018 b","Centropyge multispinis",12
"455","Katza","2018 b","Cephalopholis hemistiktos",4
"456","Katza","2018 b","Cephalopholis miniata",16
"457","Katza","2018 b","Chaetodon auriga",4
"458","Katza","2018 b","Chaetodon austriacus",2
"459","Katza","2018 b","Chaetodon fasciatus",1
"460","Katza","2018 b","Chaetodon melannotus",3
"461","Katza","2018 b","Chaetodon paucifasciatus",26
"462","Katza","2018 b","Cheilinus abudjubbe",2
"463","Katza","2018 b","Cheilodipterus lachneri",6
"464","Katza","2018 b","Cheilodipterus macrodon",2
"465","Katza","2018 b","Cheilodipterus novemstriatus",231
"466","Katza","2018 b","Cheilodipterus quinquelineatus",140
"467","Katza","2018 b","Chlorurus gibbus",1
"468","Katza","2018 b","Chlorurus sordidus",2
"469","Katza","2018 b","Chromis flavaxilla",6
"470","Katza","2018 b","Chromis ternatensis",1
"471","Katza","2018 b","Chromis viridis",1905
"472","Katza","2018 b","Chrysiptera unimaculata",1
"473","Katza","2018 b","Cirrhitichthys oxycephalus",1
"474","Katza","2018 b","Cirripectes castaneus",17
"475","Katza","2018 b","Coris aygula",1
"476","Katza","2018 b","Coris caudimacula",7
"477","Katza","2018 b","Corythoichthys flavofasciatus",22
"478","Katza","2018 b","Corythoichthys schultzi",7
"479","Katza","2018 b","Ctenochaetus striatus",9
"480","Katza","2018 b","Ctenogobiops maculosus",1
"481","Katza","2018 b","Cyclichthys spilostylus",2
"482","Katza","2018 b","Dascyllus abudafur",5
"483","Katza","2018 b","Dascyllus marginatus",50
"484","Katza","2018 b","Dascyllus trimaculatus",35
"485","Katza","2018 b","Diplodus noct",1
"486","Katza","2018 b","Ecsenius aroni",15
"487","Katza","2018 b","Ecsenius frontalis",26
"488","Katza","2018 b","Ecsenius gravieri",12
"489","Katza","2018 b","Ecsenius nalolo",22
"490","Katza","2018 b","Epinephelus fasciatus",13
"491","Katza","2018 b","Epinephelus tauvina",1
"492","Katza","2018 b","Eviota guttata",2
"493","Katza","2018 b","Eviota punyit",7
"494","Katza","2018 b","Exallias brevis",3
"495","Katza","2018 b","Fistularia commersonii",1
"496","Katza","2018 b","Gerres oyena",1
"497","Katza","2018 b","Gnatholepis anjerensis",14
"498","Katza","2018 b","Gobiodon citrinus",26
"499","Katza","2018 b","Gobiodon rivulatus",2
"500","Katza","2018 b","Grammistes sexlineatus",4
"501","Katza","2018 b","Gymnothorax griseus",1
"502","Katza","2018 b","Haliophis guttatus",1
"503","Katza","2018 b","Heniochus intermedius",4
"504","Katza","2018 b","Istigobius decoratus",53
"505","Katza","2018 b","Labroides dimidiatus",8
"506","Katza","2018 b","Larabicus quadrilineatus",2
"507","Katza","2018 b","Lethrinus borbonicus",1
"508","Katza","2018 b","Lethrinus nebulosus",1
"509","Katza","2018 b","Lethrinus obsoletus",1
"510","Katza","2018 b","Lotilia graciliosa",1
"511","Katza","2018 b","Meiacanthus nigrolineatus",26
"512","Katza","2018 b","Myripristis murdjan",14
"513","Katza","2018 b","Nectamia annularis",4
"514","Katza","2018 b","Nectamia zebrina",1
"515","Katza","2018 b","Neoglyphidodon melas",3
"516","Katza","2018 b","Neoniphon sammara",1
"517","Katza","2018 b","Neopomacentrus miryae",246
"518","Katza","2018 b","Ostorhinchus cyanosoma",1169
"519","Katza","2018 b","Ostorhinchus nigrofasciatus",30
"520","Katza","2018 b","Ostracion cubicum",10
"521","Katza","2018 b","Ostracion cyanurus",2
"522","Katza","2018 b","Oxymonacanthus halli",1
"523","Katza","2018 b","Paracheilinus octotaenia",6
"524","Katza","2018 b","Pardachirus marmoratus",1
"525","Katza","2018 b","Parupeneus forsskali",17
"526","Katza","2018 b","Parupeneus macronemus",1
"527","Katza","2018 b","Plagiotremus tapeinosoma",3
"528","Katza","2018 b","Plagiotremus townsendi",1
"529","Katza","2018 b","Pomacanthus imperator",1
"530","Katza","2018 b","Pomacentrus sulfureus",17
"531","Katza","2018 b","Pomacentrus trichrourus",192
"532","Katza","2018 b","Pomacentrus trilineatus",2
"533","Katza","2018 b","Pseudanthias squamipinnis",587
"534","Katza","2018 b","Pseudocheilinus evanidus",2
"535","Katza","2018 b","Pseudocheilinus hexataenia",30
"536","Katza","2018 b","Pseudochromis fridmani",4
"537","Katza","2018 b","Pseudochromis olivaceus",47
"538","Katza","2018 b","Pseudochromis springeri",7
"539","Katza","2018 b","Pterois miles",4
"540","Katza","2018 b","Pterois radiata",3
"541","Katza","2018 b","Pycnochromis dimidiatus",36
"542","Katza","2018 b","Rhinecanthus assasi",1
"543","Katza","2018 b","Sargocentron caudimaculatum",6
"544","Katza","2018 b","Sargocentron diadema",12
"545","Katza","2018 b","Scarus ferrugineus",1
