"","Site","Knoll","year_month","Species","Abundance"
"83","Caves","10","2018 b","Amblyglyphidodon indicus",1
"84","Caves","10","2018 b","Amphiprion bicinctus",1
"85","Caves","10","2018 b","Atrosalarias fuscus",2
"86","Caves","10","2018 b","Cephalopholis hemistiktos",1
"87","Caves","10","2018 b","Cheilinus lunulatus",1
"88","Caves","10","2018 b","Cheilodipterus novemstriatus",1
"89","Caves","10","2018 b","Cheilodipterus quinquelineatus",3
"90","Caves","10","2018 b","Chlorurus gibbus",1
"91","Caves","10","2018 b","Chlorurus sordidus",3
"92","Caves","10","2018 b","Ctenochaetus striatus",1
"93","Caves","10","2018 b","Cyclichthys spilostylus",1
"94","Caves","10","2018 b","Dascyllus marginatus",3
"95","Caves","10","2018 b","Ecsenius aroni",1
"96","Caves","10","2018 b","Ecsenius nalolo",2
"97","Caves","10","2018 b","Epinephelus tauvina",1
"98","Caves","10","2018 b","Gobiodon citrinus",1
"99","Caves","10","2018 b","Labroides dimidiatus",2
"100","Caves","10","2018 b","Larabicus quadrilineatus",1
"101","Caves","10","2018 b","Neoglyphidodon melas",1
"102","Caves","10","2018 b","Ostorhinchus cyanosoma",2
"103","Caves","10","2018 b","Ostorhinchus nigrofasciatus",2
"104","Caves","10","2018 b","Parupeneus forsskali",1
"105","Caves","10","2018 b","Parupeneus macronemus",2
"106","Caves","10","2018 b","Pomacentrus trichrourus",4
"107","Caves","10","2018 b","Pseudocheilinus hexataenia",3
"108","Caves","10","2018 b","Pseudochromis olivaceus",6
"109","Caves","10","2018 b","Scarus ferrugineus",1
"110","Caves","10","2018 b","Scarus frenatus",1
"111","Caves","10","2018 b","Scolopsis ghanam",2
"112","Caves","10","2018 b","Siganus rivulatus",2
"113","Caves","10","2018 b","Thalassoma rueppellii",3
"114","Caves","10","2020 a","Acanthurus nigrofuscus",1
"115","Caves","10","2020 a","Calotomus viridescens",1
"116","Caves","10","2020 a","Chaetodon austriacus",1
"117","Caves","10","2020 a","Ctenochaetus striatus",1
"118","Caves","10","2020 a","Ecsenius nalolo",1
"119","Caves","10","2020 a","Epinephelus fasciatus",2
"120","Caves","10","2020 a","Myrichthys maculosus",1
"121","Caves","10","2020 a","Scarus niger",1
"122","Caves","10","2020 a","Thalassoma rueppellii",1
"123","Caves","10","2020 a","Zebrasoma xanthurum",2
"124","Caves","10","2020 b","Alloblennius pictus",1
"125","Caves","10","2020 b","Cheilodipterus quinquelineatus",33
"126","Caves","10","2020 b","Ecsenius gravieri",1
"127","Caves","10","2020 b","Ecsenius nalolo",1
"128","Caves","10","2020 b","Epinephelus fasciatus",2
"129","Caves","10","2020 b","Eviota guttata",1
"130","Caves","10","2020 b","Gnatholepis anjerensis",2
"131","Caves","10","2020 b","Istigobius decoratus",2
"132","Caves","10","2020 b","Koumansetta hectori",1
"133","Caves","10","2020 b","Larabicus quadrilineatus",2
"134","Caves","10","2020 b","Ostorhinchus cyanosoma",2
"135","Caves","10","2020 b","Oxycheilinus digramma",1
"136","Caves","10","2020 b","Parupeneus macronemus",1
"137","Caves","10","2020 b","Pomacentrus trichrourus",2
"138","Caves","10","2020 b","Pseudochromis olivaceus",1
"139","Caves","10","2020 b","Scolopsis ghanam",1
"140","Caves","10","2020 b","Synodus variegatus",4
"141","Caves","10","2020 b","Thalassoma rueppellii",1
"142","Caves","10","2021 a","Chaetodon paucifasciatus",2
"143","Caves","10","2021 a","Coris caudimacula",3
"144","Caves","10","2021 a","Ecsenius gravieri",1
"145","Caves","10","2021 a","Epinephelus fasciatus",1
"146","Caves","10","2021 a","Gymnothorax griseus",1
"147","Caves","10","2021 a","Gymnothorax undulatus",1
"148","Caves","10","2021 a","Parupeneus macronemus",3
"149","Caves","10","2021 a","Pomacentrus sulfureus",1
"150","Caves","10","2021 a","Pomacentrus trichrourus",11
"151","Caves","10","2021 a","Pseudanthias squamipinnis",1
"152","Caves","10","2021 a","Pycnochromis dimidiatus",1
"153","Caves","10","2021 a","Synodus variegatus",1
"154","Caves","10","2021 a","Thalassoma rueppellii",8
"155","Caves","10","2022 b","Ecsenius frontalis",2
"156","Caves","10","2022 b","Epinephelus fasciatus",1
"157","Caves","10","2022 b","Eviota guttata",4
"158","Caves","10","2022 b","Gnatholepis anjerensis",9
"159","Caves","10","2022 b","Labroides dimidiatus",1
"160","Caves","10","2022 b","Pomacentrus sulfureus",1
"161","Caves","10","2022 b","Pomacentrus trichrourus",3
"162","Caves","10","2022 b","Pseudochromis fridmani",1
"163","Caves","10","2022 b","Thalassoma rueppellii",5
"164","Caves","10","2022 b","Tripterygiidae sp.",1
"165","Caves","10","2022 b","Zebrasoma xanthurum",2
"166","Caves","11","2018 b","Abudefduf vaigiensis",7
"167","Caves","11","2018 b","Acanthurus nigrofuscus",6
"168","Caves","11","2018 b","Aethaloperca rogaa",1
"169","Caves","11","2018 b","Amblyglyphidodon indicus",1
"170","Caves","11","2018 b","Chaetodon paucifasciatus",2
"171","Caves","11","2018 b","Cheilinus lunulatus",1
"172","Caves","11","2018 b","Cheilodipterus novemstriatus",1
"173","Caves","11","2018 b","Cheilodipterus quinquelineatus",3
"174","Caves","11","2018 b","Chlorurus sordidus",4
"175","Caves","11","2018 b","Ctenochaetus striatus",2
"176","Caves","11","2018 b","Cyclichthys spilostylus",1
"177","Caves","11","2018 b","Ecsenius frontalis",3
"178","Caves","11","2018 b","Ecsenius gravieri",1
"179","Caves","11","2018 b","Ecsenius nalolo",6
"180","Caves","11","2018 b","Epinephelus fasciatus",4
"181","Caves","11","2018 b","Lethrinus borbonicus",1
"182","Caves","11","2018 b","Neoglyphidodon melas",1
"183","Caves","11","2018 b","Ostorhinchus cyanosoma",12
"184","Caves","11","2018 b","Ostorhinchus nigrofasciatus",5
"185","Caves","11","2018 b","Parapercis hexophtalma",2
"186","Caves","11","2018 b","Parupeneus macronemus",1
"187","Caves","11","2018 b","Plagiotremus townsendi",2
"188","Caves","11","2018 b","Pomacentrus sulfureus",3
"189","Caves","11","2018 b","Pomacentrus trichrourus",17
"190","Caves","11","2018 b","Pomacentrus trilineatus",2
"191","Caves","11","2018 b","Pseudocheilinus hexataenia",1
"192","Caves","11","2018 b","Pseudochromis fridmani",3
"193","Caves","11","2018 b","Pseudochromis olivaceus",8
"194","Caves","11","2018 b","Pycnochromis dimidiatus",5
"195","Caves","11","2018 b","Rhinecanthus assasi",1
"196","Caves","11","2018 b","Scarus ferrugineus",2
"197","Caves","11","2018 b","Sebastapistes cyanostigma",1
"198","Caves","11","2018 b","Siganus rivulatus",4
"199","Caves","11","2018 b","Stethojulis albovittata",1
"200","Caves","11","2018 b","Thalassoma rueppellii",8
"201","Caves","11","2018 b","Variola louti",1
"202","Caves","11","2018 b","Zebrasoma xanthurum",3
"203","Caves","11","2020 a","Acanthurus nigrofuscus",2
"204","Caves","11","2020 a","Cyclichthys spilostylus",1
"205","Caves","11","2020 a","Neopomacentrus miryae",5
"206","Caves","11","2020 a","Thalassoma rueppellii",4
"207","Caves","11","2020 b","Acanthurus nigrofuscus",2
"208","Caves","11","2020 b","Cheilodipterus quinquelineatus",1
"209","Caves","11","2020 b","Coris caudimacula",3
"210","Caves","11","2020 b","Ecsenius nalolo",2
"211","Caves","11","2020 b","Epinephelus fasciatus",1
"212","Caves","11","2020 b","Eviota guttata",26
"213","Caves","11","2020 b","Istigobius decoratus",4
"214","Caves","11","2020 b","Ostorhinchus nigrofasciatus",1
"215","Caves","11","2020 b","Pristiapogon exostigma",9
"216","Caves","11","2020 b","Synodus variegatus",1
"217","Caves","11","2021 a","Abudefduf sexfasciatus",4
"218","Caves","11","2021 a","Acanthurus nigrofuscus",2
"219","Caves","11","2021 a","Cheilodipterus quinquelineatus",4
"220","Caves","11","2021 a","Cirripectes castaneus",2
"221","Caves","11","2021 a","Coris aygula",1
"222","Caves","11","2021 a","Ctenochaetus striatus",2
"223","Caves","11","2021 a","Dascyllus marginatus",1
"224","Caves","11","2021 a","Ecsenius nalolo",1
"225","Caves","11","2021 a","Epinephelus fasciatus",1
"226","Caves","11","2021 a","Eviota guttata",4
"227","Caves","11","2021 a","Eviota prasina",1
"228","Caves","11","2021 a","Eviota zebrina",2
"229","Caves","11","2021 a","Gnatholepis anjerensis",1
"230","Caves","11","2021 a","Pomacentrus sulfureus",2
"231","Caves","11","2021 a","Pomacentrus trichrourus",34
"232","Caves","11","2021 a","Pomacentrus trilineatus",6
"233","Caves","11","2021 a","Pseudanthias squamipinnis",15
"234","Caves","11","2021 a","Pseudochromis fridmani",6
"235","Caves","11","2021 a","Thalassoma rueppellii",13
"236","Caves","11","2022 b","Eviota guttata",2
"237","Caves","11","2022 b","Gomphosus caeruleus",1
"238","Caves","11","2022 b","Pomacentrus sulfureus",2
"239","Caves","11","2022 b","Pomacentrus trichrourus",4
"240","Caves","11","2022 b","Thalassoma rueppellii",4
"241","Caves","12","2018 b","Atrosalarias fuscus",1
"242","Caves","12","2018 b","Canthigaster cyanospilota",1
"243","Caves","12","2018 b","Cephalopholis hemistiktos",2
"244","Caves","12","2018 b","Chaetodon paucifasciatus",2
"245","Caves","12","2018 b","Cheilinus lunulatus",1
"246","Caves","12","2018 b","Chromis viridis",70
"247","Caves","12","2018 b","Dascyllus marginatus",2
"248","Caves","12","2018 b","Ecsenius aroni",2
"249","Caves","12","2018 b","Ecsenius frontalis",1
"250","Caves","12","2018 b","Gomphosus caeruleus",1
"251","Caves","12","2018 b","Heniochus intermedius",2
"252","Caves","12","2018 b","Myripristis murdjan",1
"253","Caves","12","2018 b","Odonus niger",1
"254","Caves","12","2018 b","Ostorhinchus cyanosoma",15
"255","Caves","12","2018 b","Pomacentrus trichrourus",11
"256","Caves","12","2018 b","Pseudanthias squamipinnis",25
"257","Caves","12","2018 b","Pseudocheilinus hexataenia",2
"258","Caves","12","2018 b","Pseudochromis fridmani",2
"259","Caves","12","2018 b","Pseudochromis springeri",1
"260","Caves","12","2018 b","Pycnochromis dimidiatus",6
"261","Caves","12","2018 b","Sargocentron caudimaculatum",1
"262","Caves","12","2018 b","Scarus ferrugineus",1
"263","Caves","12","2018 b","Taeniura lymma",1
"264","Caves","12","2018 b","Thalassoma rueppellii",1
"265","Caves","12","2020 a","Canthigaster cyanospilota",1
"266","Caves","12","2020 a","Centropyge multispinis",1
"267","Caves","12","2020 a","Cephalopholis hemistiktos",1
"268","Caves","12","2020 a","Chaetodon austriacus",1
"269","Caves","12","2020 a","Chlorurus sordidus",1
"270","Caves","12","2020 a","Dascyllus trimaculatus",2
"271","Caves","12","2020 a","Ecsenius aroni",1
"272","Caves","12","2020 a","Eviota guttata",1
"273","Caves","12","2020 a","Gobiodon rivulatus",2
"274","Caves","12","2020 a","Heniochus intermedius",2
"275","Caves","12","2020 a","Myripristis murdjan",1
"276","Caves","12","2020 a","Parapercis hexophtalma",2
"277","Caves","12","2020 a","Parupeneus forsskali",1
"278","Caves","12","2020 a","Pomacentrus trichrourus",2
"279","Caves","12","2020 a","Pseudanthias squamipinnis",22
"280","Caves","12","2020 a","Pseudochromis olivaceus",1
"281","Caves","12","2020 a","Pycnochromis dimidiatus",1
"282","Caves","12","2020 a","Thalassoma rueppellii",3
"283","Caves","12","2020 b","Acanthurus nigrofuscus",1
"284","Caves","12","2020 b","Amblyglyphidodon indicus",2
"285","Caves","12","2020 b","Anampses lineatus",1
"286","Caves","12","2020 b","Cephalopholis hemistiktos",1
"287","Caves","12","2020 b","Cheilodipterus novemstriatus",5
"288","Caves","12","2020 b","Chromis viridis",1
"289","Caves","12","2020 b","Dascyllus marginatus",1
"290","Caves","12","2020 b","Dascyllus trimaculatus",2
"291","Caves","12","2020 b","Ecsenius aroni",6
"292","Caves","12","2020 b","Ecsenius nalolo",6
"293","Caves","12","2020 b","Epinephelus tauvina",1
"294","Caves","12","2020 b","Eviota guttata",11
"295","Caves","12","2020 b","Eviota punyit",9
"296","Caves","12","2020 b","Gnatholepis anjerensis",13
"297","Caves","12","2020 b","Gobiodon reticulatus",5
"298","Caves","12","2020 b","Gobiodon rivulatus",4
"299","Caves","12","2020 b","Gomphosus caeruleus",3
"300","Caves","12","2020 b","Istigobius decoratus",8
"301","Caves","12","2020 b","Larabicus quadrilineatus",3
"302","Caves","12","2020 b","Monotaxis grandoculis",1
"303","Caves","12","2020 b","Parupeneus forsskali",3
"304","Caves","12","2020 b","Pomacentrus trichrourus",6
"305","Caves","12","2020 b","Pseudanthias squamipinnis",11
"306","Caves","12","2020 b","Pseudocheilinus hexataenia",1
"307","Caves","12","2020 b","Pseudochromis fridmani",2
"308","Caves","12","2020 b","Pseudochromis olivaceus",1
"309","Caves","12","2020 b","Pycnochromis dimidiatus",8
"310","Caves","12","2020 b","Sargocentron caudimaculatum",1
"311","Caves","12","2020 b","Stethojulis albovittata",1
"312","Caves","12","2020 b","Synodus variegatus",4
"313","Caves","12","2020 b","Thalassoma rueppellii",8
"314","Caves","12","2021 a","Acanthurus nigrofuscus",1
"315","Caves","12","2021 a","Cephalopholis hemistiktos",1
"316","Caves","12","2021 a","Chaetodon fasciatus",1
"317","Caves","12","2021 a","Coris aygula",1
"318","Caves","12","2021 a","Dascyllus trimaculatus",1
"319","Caves","12","2021 a","Ecsenius frontalis",4
"320","Caves","12","2021 a","Ecsenius nalolo",4
"321","Caves","12","2021 a","Eviota guttata",7
"322","Caves","12","2021 a","Eviota punyit",1
"323","Caves","12","2021 a","Gymnothorax flavimarginatus",1
"324","Caves","12","2021 a","Gymnothorax nudivomer",1
"325","Caves","12","2021 a","Heniochus intermedius",1
"326","Caves","12","2021 a","Larabicus quadrilineatus",1
"327","Caves","12","2021 a","Myripristis murdjan",1
"328","Caves","12","2021 a","Pleurosicya micheli",2
"329","Caves","12","2021 a","Pomacentrus trichrourus",8
"330","Caves","12","2021 a","Pseudanthias squamipinnis",67
"331","Caves","12","2021 a","Pseudocheilinus hexataenia",3
"332","Caves","12","2021 a","Pseudochromis fridmani",2
"333","Caves","12","2021 a","Pycnochromis dimidiatus",6
"334","Caves","12","2021 a","Sargocentron caudimaculatum",2
"335","Caves","12","2021 a","Thalassoma rueppellii",16
"336","Caves","12","2022 b","Acanthurus nigrofuscus",1
"337","Caves","12","2022 b","Amblyglyphidodon indicus",16
"338","Caves","12","2022 b","Cephalopholis hemistiktos",2
"339","Caves","12","2022 b","Ctenochaetus striatus",1
"340","Caves","12","2022 b","Dascyllus trimaculatus",3
"341","Caves","12","2022 b","Enneapterygius pusillus",1
"342","Caves","12","2022 b","Eviota guttata",6
"343","Caves","12","2022 b","Gobiodon citrinus",1
"344","Caves","12","2022 b","Heniochus intermedius",2
"345","Caves","12","2022 b","Istigobius decoratus",1
"346","Caves","12","2022 b","Larabicus quadrilineatus",1
"347","Caves","12","2022 b","Pomacentrus trichrourus",1
"348","Caves","12","2022 b","Pseudocheilinus hexataenia",1
"349","Caves","12","2022 b","Pseudochromis olivaceus",1
"350","Caves","12","2022 b","Pycnochromis dimidiatus",3
"351","Caves","12","2022 b","Sargocentron caudimaculatum",1
"352","Caves","12","2022 b","Thalassoma rueppellii",1
"353","Caves","13","2018 b","Amblyglyphidodon indicus",6
"354","Caves","13","2018 b","Atrosalarias fuscus",1
"355","Caves","13","2018 b","Chaetodon paucifasciatus",1
"356","Caves","13","2018 b","Cheilodipterus quinquelineatus",2
"357","Caves","13","2018 b","Dascyllus marginatus",7
"358","Caves","13","2018 b","Ecsenius gravieri",1
"359","Caves","13","2018 b","Meiacanthus nigrolineatus",1
"360","Caves","13","2018 b","Neopomacentrus miryae",15
"361","Caves","13","2018 b","Ostorhinchus cyanosoma",16
"362","Caves","13","2018 b","Pomacentrus sulfureus",1
"363","Caves","13","2018 b","Pomacentrus trichrourus",8
"364","Caves","13","2018 b","Pseudanthias squamipinnis",15
"365","Caves","13","2018 b","Pseudochromis fridmani",1
"366","Caves","13","2018 b","Pycnochromis dimidiatus",4
"367","Caves","13","2018 b","Zebrasoma desjardinii",3
"368","Caves","13","2020 a","Chaetodon paucifasciatus",1
"369","Caves","13","2020 a","Cyclichthys spilostylus",1
"370","Caves","13","2020 a","Dascyllus trimaculatus",3
"371","Caves","13","2020 a","Ecsenius nalolo",1
"372","Caves","13","2020 a","Pseudanthias squamipinnis",6
"373","Caves","13","2020 a","Thalassoma rueppellii",3
"374","Caves","13","2020 b","Acanthurus nigrofuscus",1
"375","Caves","13","2020 b","Amblyglyphidodon indicus",3
"376","Caves","13","2020 b","Atrosalarias fuscus",1
"377","Caves","13","2020 b","Cheilodipterus novemstriatus",48
"378","Caves","13","2020 b","Cheilodipterus quinquelineatus",4
"379","Caves","13","2020 b","Dascyllus trimaculatus",2
"380","Caves","13","2020 b","Ecsenius frontalis",2
"381","Caves","13","2020 b","Ecsenius nalolo",1
"382","Caves","13","2020 b","Epinephelus fasciatus",1
"383","Caves","13","2020 b","Eviota guttata",1
"384","Caves","13","2020 b","Eviota punyit",1
"385","Caves","13","2020 b","Gnatholepis anjerensis",8
"386","Caves","13","2020 b","Gobiodon reticulatus",4
"387","Caves","13","2020 b","Istigobius decoratus",11
"388","Caves","13","2020 b","Larabicus quadrilineatus",1
"389","Caves","13","2020 b","Ostorhinchus cyanosoma",20
"390","Caves","13","2020 b","Ostracion cubicum",1
"391","Caves","13","2020 b","Pomacentrus trichrourus",1
"392","Caves","13","2020 b","Pristiapogon exostigma",11
"393","Caves","13","2020 b","Pseudocheilinus hexataenia",1
"394","Caves","13","2020 b","Pseudochromis fridmani",3
"395","Caves","13","2020 b","Pseudochromis olivaceus",2
"396","Caves","13","2020 b","Sufflamen albicaudatum",1
"397","Caves","13","2020 b","Synodus variegatus",2
"398","Caves","13","2020 b","Thalassoma rueppellii",2
"399","Caves","13","2020 b","Trimma avidori",1
"400","Caves","13","2020 b","Zebrasoma xanthurum",1
"401","Caves","13","2021 a","Cephalopholis hemistiktos",1
"402","Caves","13","2021 a","Chaetodon paucifasciatus",1
"403","Caves","13","2021 a","Cheilinus lunulatus",1
"404","Caves","13","2021 a","Chromis ternatensis",5
"405","Caves","13","2021 a","Cirripectes castaneus",1
"406","Caves","13","2021 a","Ctenochaetus striatus",1
"407","Caves","13","2021 a","Dascyllus trimaculatus",1
"408","Caves","13","2021 a","Ecsenius frontalis",2
"409","Caves","13","2021 a","Ecsenius gravieri",2
"410","Caves","13","2021 a","Ecsenius nalolo",5
"411","Caves","13","2021 a","Eviota guttata",12
"412","Caves","13","2021 a","Eviota punyit",2
"413","Caves","13","2021 a","Gnatholepis anjerensis",1
"414","Caves","13","2021 a","Neopomacentrus miryae",3
"415","Caves","13","2021 a","Ostorhinchus cyanosoma",2
"416","Caves","13","2021 a","Ostorhinchus nigrofasciatus",3
"417","Caves","13","2021 a","Parupeneus forsskali",6
"418","Caves","13","2021 a","Pomacentrus sulfureus",1
"419","Caves","13","2021 a","Pomacentrus trichrourus",12
"420","Caves","13","2021 a","Pseudanthias squamipinnis",20
"421","Caves","13","2021 a","Pseudocheilinus hexataenia",2
"422","Caves","13","2021 a","Pseudochromis fridmani",3
"423","Caves","13","2021 a","Pycnochromis dimidiatus",1
"424","Caves","13","2021 a","Thalassoma rueppellii",9
"425","Caves","13","2021 a","Trimma avidori",1
"426","Caves","13","2021 a","Tripterygiidae sp.",3
"427","Caves","13","2022 b","Cheilinus lunulatus",1
"428","Caves","13","2022 b","Chromis viridis",4
"429","Caves","13","2022 b","Chrysiptera unimaculata",1
"430","Caves","13","2022 b","Dascyllus trimaculatus",1
"431","Caves","13","2022 b","Ecsenius frontalis",1
"432","Caves","13","2022 b","Enneapterygius pusillus",2
"433","Caves","13","2022 b","Gnatholepis anjerensis",16
"434","Caves","13","2022 b","Pomacanthus imperator",1
"435","Caves","13","2022 b","Thalassoma rueppellii",1
"436","Caves","14","2018 b","Arothron hispidus",1
"437","Caves","14","2018 b","Bodianus anthioides",1
"438","Caves","14","2018 b","Calotomus viridescens",1
"439","Caves","14","2018 b","Cantherhines pardalis",1
"440","Caves","14","2018 b","Chaetodon paucifasciatus",2
"441","Caves","14","2018 b","Cheilodipterus novemstriatus",1
"442","Caves","14","2018 b","Chromis viridis",24
"443","Caves","14","2018 b","Ctenochaetus striatus",2
"444","Caves","14","2018 b","Ecsenius nalolo",30
"445","Caves","14","2018 b","Epinephelus fasciatus",1
"446","Caves","14","2018 b","Labroides dimidiatus",1
"447","Caves","14","2018 b","Neopomacentrus miryae",6
"448","Caves","14","2018 b","Ostorhinchus cyanosoma",24
"449","Caves","14","2018 b","Ostorhinchus nigrofasciatus",2
"450","Caves","14","2018 b","Pomacentrus trichrourus",6
"451","Caves","14","2018 b","Pseudochromis fridmani",2
"452","Caves","14","2018 b","Pseudochromis olivaceus",2
"453","Caves","14","2018 b","Thalassoma rueppellii",1
"454","Caves","14","2020 a","Chaetodon paucifasciatus",2
"455","Caves","14","2020 a","Cheilinus abudjubbe",1
"456","Caves","14","2020 a","Ecsenius frontalis",2
"457","Caves","14","2020 a","Eviota guttata",1
"458","Caves","14","2020 a","Neopomacentrus miryae",2
"459","Caves","14","2020 a","Pseudanthias squamipinnis",26
"460","Caves","14","2020 a","Sufflamen albicaudatum",2
"461","Caves","14","2020 a","Thalassoma rueppellii",3
"462","Caves","14","2020 b","Acanthurus nigrofuscus",1
"463","Caves","14","2020 b","Amblyglyphidodon indicus",2
"464","Caves","14","2020 b","Chaetodon austriacus",1
"465","Caves","14","2020 b","Cheilodipterus novemstriatus",49
"466","Caves","14","2020 b","Cheilodipterus quinquelineatus",5
"467","Caves","14","2020 b","Ecsenius aroni",8
"468","Caves","14","2020 b","Ecsenius nalolo",4
"469","Caves","14","2020 b","Epinephelus fasciatus",1
"470","Caves","14","2020 b","Eviota guttata",10
"471","Caves","14","2020 b","Eviota punyit",7
"472","Caves","14","2020 b","Eviota zebrina",3
"473","Caves","14","2020 b","Gnatholepis anjerensis",12
"474","Caves","14","2020 b","Gobiodon reticulatus",2
"475","Caves","14","2020 b","Istigobius decoratus",12
"476","Caves","14","2020 b","Larabicus quadrilineatus",1
"477","Caves","14","2020 b","Ostorhinchus cyanosoma",4
"478","Caves","14","2020 b","Pleurosicya micheli",1
"479","Caves","14","2020 b","Pomacentrus trichrourus",2
"480","Caves","14","2020 b","Pseudanthias squamipinnis",15
"481","Caves","14","2020 b","Pseudocheilinus hexataenia",2
"482","Caves","14","2020 b","Pseudochromis fridmani",2
"483","Caves","14","2020 b","Pseudochromis olivaceus",1
"484","Caves","14","2020 b","Pterois miles",1
"485","Caves","14","2020 b","Pycnochromis dimidiatus",2
"486","Caves","14","2020 b","Synodus variegatus",1
"487","Caves","14","2020 b","Trimma avidori",1
"488","Caves","14","2021 a","Cephalopholis hemistiktos",1
"489","Caves","14","2021 a","Dascyllus trimaculatus",1
"490","Caves","14","2021 a","Ecsenius frontalis",8
"491","Caves","14","2021 a","Ecsenius gravieri",3
"492","Caves","14","2021 a","Eviota guttata",15
"493","Caves","14","2021 a","Gnatholepis anjerensis",4
"494","Caves","14","2021 a","Neopomacentrus miryae",20
"495","Caves","14","2021 a","Ostorhinchus nigrofasciatus",5
