"","Site","Knoll","Year","Date","year_month","survey_id","Observer","Species","Species_2015","Family","Abundance","Length","Confidence","Status","a","b"
"13","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Pseudanthias squamipinnis","Pseudanthias spp.","Serranidae",50,10,0,"C",0.0175096041666667,3.04466479166667
"14","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Chromis viridis","Chromis viridis","Pomacentridae",500,4,0,"C",0.021625,2.892
"15","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Chromis viridis","Chromis viridis","Pomacentridae",30,3,0,"C",0.021625,2.892
"16","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Chromis viridis","Chromis viridis","Pomacentridae",300,5,0,"C",0.021625,2.892
"17","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Zebrasoma desjardinii","Zebrasoma desjardinii","Acanthuridae",1,22,0,"T",0.0113,3.1805
"18","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Zebrasoma xanthurum","Zebrasoma xanthurum","Acanthuridae",2,12,0,"T",0.0113,3.1805
"19","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Zebrasoma xanthurum","Zebrasoma xanthurum","Acanthuridae",1,15,0,"T",0.0113,3.1805
"20","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Zebrasoma xanthurum","Zebrasoma xanthurum","Acanthuridae",1,10,0,"T",0.0113,3.1805
"21","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Zebrasoma xanthurum","Zebrasoma xanthurum","Acanthuridae",1,8,0,"T",0.0113,3.1805
"22","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Zebrasoma xanthurum","Zebrasoma xanthurum","Acanthuridae",1,25,0,"T",0.0113,3.1805
"23","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Cephalopholis miniata","Serranidae","Serranidae",2,30,0,"T",0.0186233333333333,3.08466666666667
"24","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Cephalopholis miniata","Serranidae","Serranidae",2,40,0,"T",0.0186233333333333,3.08466666666667
"25","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Cephalopholis miniata","Serranidae","Serranidae",2,35,0,"T",0.0186233333333333,3.08466666666667
"26","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Cephalopholis miniata","Serranidae","Serranidae",1,45,0,"T",0.0186233333333333,3.08466666666667
"27","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Heniochus intermedius","Heniochus spp.","Chaetodontidae",2,20,0,"T",0.03981,3
"28","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Heniochus intermedius","Heniochus spp.","Chaetodontidae",1,35,0,"T",0.03981,3
"29","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Variola louti","Variola louti","Serranidae",1,65,0,"T",0.007565,3.2096
"30","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Aethaloperca rogaa","Serranidae","Serranidae",1,55,0,"T",0.0175096041666667,3.04466479166667
"31","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Ctenochaetus striatus","Acanthuridae","Acanthuridae",1,18,0,"T",0.0137,3.083
"32","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Thalassoma rueppellii","Thalassoma spp.","Labridae",1,16,0,"T",0.01380875,3.041
"33","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Thalassoma rueppellii","Thalassoma spp.","Labridae",1,6,0,"T",0.01380875,3.041
"34","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Neopomacentrus miryae","Neopomacentrus miryae","Pomacentridae",250,5,0,"C",0.0169,3
"35","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Paracheilinus octotaenia","Labridae","Labridae",1,4,0,"T",0.01380875,3.041
"36","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Paracheilinus octotaenia","Labridae","Labridae",1,6,0,"T",0.01380875,3.041
"37","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Cheilodipterus quinquelineatus","Cheilodipterus spp.","Apogonidae",8,6,0,"C",0.009835,3.055
"38","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Ostorhinchus nigrofasciatus","Apogonidae","Apogonidae",1,10,0,"C",0.011,3.24
"39","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Pseudochromis springeri","Pseudochromis springeri","Pseudochromidae",2,6,0,"C",0.00501,3.1
"40","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Pseudochromis springeri","Pseudochromis springeri","Pseudochromidae",1,5,0,"C",0.00501,3.1
"41","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Pseudochromis springeri","Pseudochromis springeri","Pseudochromidae",1,3,0,"C",0.00501,3.1
"42","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Pseudochromis springeri","Pseudochromis springeri","Pseudochromidae",1,10,0,"C",0.00501,3.1
"43","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Meiacanthus nigrolineatus","Meiacanthus nigrolineatus","Blenniidae",1,4,0,"C",0.0133,3
"44","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Meiacanthus nigrolineatus","Meiacanthus nigrolineatus","Blenniidae",1,6,0,"C",0.0133,3
"45","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Meiacanthus nigrolineatus","Meiacanthus nigrolineatus","Blenniidae",1,8,0,"C",0.0133,3
"46","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Meiacanthus nigrolineatus","Meiacanthus nigrolineatus","Blenniidae",1,10,0,"C",0.0133,3
"47","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Cheilodipterus novemstriatus","Cheilodipterus spp.","Apogonidae",4,8,0,"C",0.009835,3.055
"48","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Cheilodipterus novemstriatus","Cheilodipterus spp.","Apogonidae",30,6,0,"C",0.009835,3.055
"49","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Cheilodipterus novemstriatus","Cheilodipterus spp.","Apogonidae",20,5,0,"C",0.009835,3.055
"50","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Ostorhinchus cyanosoma","Apogonidae","Apogonidae",50,4,0,"C",0.011,3.24
"51","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Ostorhinchus cyanosoma","Apogonidae","Apogonidae",20,5,0,"C",0.011,3.24
"52","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Gobiodon citrinus","Gobiidae","Gobiidae",2,5,0,"C",0.0146223333333333,2.88026666666667
"53","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Gobiodon citrinus","Gobiidae","Gobiidae",1,6,0,"C",0.0146223333333333,2.88026666666667
"54","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Gobiodon citrinus","Gobiidae","Gobiidae",1,4,0,"C",0.0146223333333333,2.88026666666667
"55","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Gobiodon citrinus","Gobiidae","Gobiidae",1,3,0,"C",0.0146223333333333,2.88026666666667
"56","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Gobiodon citrinus","Gobiidae","Gobiidae",1,5,0,"C",0.0146223333333333,2.88026666666667
"57","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Thalassoma rueppellii","Thalassoma spp.","Labridae",1,8,0,"T",0.01380875,3.041
"58","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Pomacentrus trichrourus","Pomacentrus trichrourus","Pomacentridae",2,4,0,"C",0.02058,3
"59","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Pomacentrus trichrourus","Pomacentrus trichrourus","Pomacentridae",1,5,0,"C",0.02058,3
"60","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Amphiprion bicinctus","Amphiprion bicinctus","Pomacentridae",1,3,0,"C",0.01855,3
"61","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Amphiprion bicinctus","Amphiprion bicinctus","Pomacentridae",1,4,0,"C",0.01855,3
"62","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Amphiprion bicinctus","Amphiprion bicinctus","Pomacentridae",1,6,0,"C",0.01855,3
"63","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Corythoichthys schultzi","Syngnathidae","Syngnathidae",1,15,0,"C",0.00078,3
"64","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Corythoichthys schultzi","Syngnathidae","Syngnathidae",1,18,0,"C",0.00078,3
"65","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Corythoichthys schultzi","Syngnathidae","Syngnathidae",1,8,0,"C",0.00078,3
"66","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Coris variegata","Labridae","Labridae",1,4,0,"T",0.01416,3
"67","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Labroides dimidiatus","Labroides dimidiatus","Labridae",1,12,0,"C",0.005955,3.142
"68","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Bodianus anthioides","Bodianus anthioides","Labridae",1,20,0,"T",0.01380875,3.041
"69","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Ecsenius frontalis","Blenniidae","Blenniidae",1,10,0,"C",0.0061,3
"70","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Parupeneus macronemus","Mullidae","Mullidae",1,15,0,"T",0.00688666666666667,3.26266666666667
"71","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Parupeneus macronemus","Mullidae","Mullidae",1,8,0,"T",0.00688666666666667,3.26266666666667
"72","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Pycnochromis dimidiatus","Chromis dimidiata","Pomacentridae",1,8,0,"C",0.0273963636363636,2.95906060606061
"73","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Pycnochromis dimidiatus","Chromis dimidiata","Pomacentridae",1,6,0,"C",0.0273963636363636,2.95906060606061
"74","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Pycnochromis dimidiatus","Chromis dimidiata","Pomacentridae",1,4,0,"C",0.0273963636363636,2.95906060606061
"75","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Parupeneus forsskali","Mullidae","Mullidae",3,18,0,"T",0.007,3.1699
"76","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Cantherhines pardalis","Monacanthidae","Monacanthidae",1,25,0,"T",0.017,3.07
"77","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Anampses twistii","Labridae","Labridae",1,6,0,"T",0.01466,3
"78","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Anampses twistii","Labridae","Labridae",1,8,0,"T",0.01466,3
"79","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Cephalopholis argus","Serranidae","Serranidae",1,35,0,"T",0.013376,3.09316
"80","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Dascyllus marginatus","Dascyllus marginatus","Pomacentridae",3,5,0,"C",0.02978,3
"81","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Dascyllus marginatus","Dascyllus marginatus","Pomacentridae",6,6,0,"C",0.02978,3
"82","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Pseudochromis olivaceus","Pseudochromis olivaceus","Pseudochromidae",1,12,0,"C",0.00501,3.1
"83","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Chlorurus gibbus","Scaridae","Scaridae",1,4,0,"T",0.0248134375,2.93332291666667
"84","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Pseudochromis fridmani","Pseudochromis fridmani","Pseudochromidae",1,6,0,"C",0.00501,3.1
"85","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Pseudochromis fridmani","Pseudochromis fridmani","Pseudochromidae",1,8,0,"C",0.00501,3.1
"86","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Cheilodipterus quinquelineatus","Cheilodipterus spp.","Apogonidae",15,5,0,"C",0.009835,3.055
"87","NR","8",2018,2018-09-06,"2018 b","NR_8_2018-09-06","Shahar Malamud","Cheilodipterus quinquelineatus","Cheilodipterus spp.","Apogonidae",12,8,0,"C",0.009835,3.055
"88","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Parupeneus forsskali","Mullidae","Mullidae",1,10,0,"T",0.007,3.1699
"89","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Zebrasoma xanthurum","Zebrasoma xanthurum","Acanthuridae",2,15,0,"T",0.0113,3.1805
"90","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Chaetodon melannotus","Chaetodon melannotus","Chaetodontidae",1,13,0,"T",0.038,2.921
"91","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Scarus niger","Scaridae","Scaridae",1,40,0,"T",0.0248134375,2.93332291666667
"92","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Chaetodon paucifasciatus","Chaetodon paucifasciatus","Chaetodontidae",1,8,0,"T",0.0379275,2.918875
"93","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Chaetodon paucifasciatus","Chaetodon paucifasciatus","Chaetodontidae",1,10,0,"T",0.0379275,2.918875
"94","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Pseudanthias squamipinnis","Pseudanthias spp.","Serranidae",300,4,0,"C",0.0175096041666667,3.04466479166667
"95","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Pseudanthias squamipinnis","Pseudanthias spp.","Serranidae",50,6,0,"C",0.0175096041666667,3.04466479166667
"96","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Hologymnosus annulatus","Labridae","Labridae",1,8,0,"T",0.01181,3.01266666666667
"97","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Dascyllus marginatus","Dascyllus marginatus","Pomacentridae",4,5,0,"C",0.02978,3
"98","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Dascyllus marginatus","Dascyllus marginatus","Pomacentridae",1,3,0,"C",0.02978,3
"99","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Dascyllus marginatus","Dascyllus marginatus","Pomacentridae",1,4,0,"C",0.02978,3
"100","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Pomacentrus trichrourus","Pomacentrus trichrourus","Pomacentridae",1,4,0,"C",0.02058,3
"101","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Pomacentrus trichrourus","Pomacentrus trichrourus","Pomacentridae",1,5,0,"C",0.02058,3
"102","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Ostorhinchus cyanosoma","Apogonidae","Apogonidae",1,5,0,"C",0.011,3.24
"103","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Ostorhinchus cyanosoma","Apogonidae","Apogonidae",3,4,0,"C",0.011,3.24
"104","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Ostorhinchus cyanosoma","Apogonidae","Apogonidae",1,3,0,"C",0.011,3.24
"105","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Cephalopholis miniata","Serranidae","Serranidae",1,20,0,"T",0.0186233333333333,3.08466666666667
"106","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Cephalopholis miniata","Serranidae","Serranidae",1,22,0,"T",0.0186233333333333,3.08466666666667
"107","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Corythoichthys schultzi","Syngnathidae","Syngnathidae",1,8,0,"C",0.00078,3
"108","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Corythoichthys schultzi","Syngnathidae","Syngnathidae",1,12,0,"C",0.00078,3
"109","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Pseudocheilinus hexataenia","Pseudocheilinus hexataenia","Labridae",1,5,0,"T",0.01452,3.0575
"110","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Gobiodon citrinus","Gobiidae","Gobiidae",1,4,0,"C",0.0146223333333333,2.88026666666667
"111","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Pseudochromis olivaceus","Pseudochromis olivaceus","Pseudochromidae",1,7,0,"C",0.00501,3.1
"112","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Plagiotremus tapeinosoma","Plagiotremus spp.","Blenniidae",1,6,0,"C",0.00367,3
"113","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Ecsenius frontalis","Blenniidae","Blenniidae",1,6,0,"C",0.0061,3
"114","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Ecsenius frontalis","Blenniidae","Blenniidae",1,4,0,"C",0.0061,3
"115","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Balistapus undulatus","Balistidae","Balistidae",1,22,0,"T",0.00885,3.277
"116","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Ecsenius gravieri","Ecsenius gravieri","Blenniidae",1,4,0,"C",0.006954,3
"117","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Ostorhinchus cyanosoma","Apogonidae","Apogonidae",5,5,0,"C",0.011,3.24
"118","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Ostorhinchus cyanosoma","Apogonidae","Apogonidae",8,4,0,"C",0.011,3.24
"119","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Thalassoma lunare","Thalassoma spp.","Labridae",1,8,0,"T",0.0183,2.862
"120","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Dascyllus marginatus","Dascyllus marginatus","Pomacentridae",1,2,0,"C",0.02978,3
"121","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Chromis viridis","Chromis viridis","Pomacentridae",30,4,0,"C",0.021625,2.892
"122","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Chromis viridis","Chromis viridis","Pomacentridae",50,5,0,"C",0.021625,2.892
"123","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Neopomacentrus miryae","Neopomacentrus miryae","Pomacentridae",100,4,0,"C",0.0169,3
"124","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Aethaloperca rogaa","Serranidae","Serranidae",1,50,0,"T",0.0175096041666667,3.04466479166667
"125","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Ecsenius gravieri","Ecsenius gravieri","Blenniidae",1,4,0,"C",0.006954,3
"126","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Pseudochromis olivaceus","Pseudochromis olivaceus","Pseudochromidae",1,5,0,"C",0.00501,3.1
"127","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Pseudochromis olivaceus","Pseudochromis olivaceus","Pseudochromidae",2,7,0,"C",0.00501,3.1
"128","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Pseudochromis olivaceus","Pseudochromis olivaceus","Pseudochromidae",1,4,0,"C",0.00501,3.1
"129","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Pseudochromis olivaceus","Pseudochromis olivaceus","Pseudochromidae",1,3,0,"C",0.00501,3.1
"130","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Cephalopholis miniata","Serranidae","Serranidae",1,35,0,"T",0.0186233333333333,3.08466666666667
"131","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Cephalopholis miniata","Serranidae","Serranidae",1,30,0,"T",0.0186233333333333,3.08466666666667
"132","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Chaetodon paucifasciatus","Chaetodon paucifasciatus","Chaetodontidae",1,4,0,"T",0.0379275,2.918875
"133","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Amphiprion bicinctus","Amphiprion bicinctus","Pomacentridae",2,6,0,"C",0.01855,3
"134","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Amblyglyphidodon flavilatus","Amblyglyphidodon spp.","Pomacentridae",1,2,0,"C",0.0273963636363636,2.95906060606061
"135","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Aspidontus tractus","Blenniidae","Blenniidae",1,6,0,"C",0.0061,3
"136","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Ecsenius frontalis","Blenniidae","Blenniidae",1,6,0,"C",0.0061,3
"137","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Gobiodon citrinus","Gobiidae","Gobiidae",1,2,0,"C",0.0146223333333333,2.88026666666667
"138","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Gobiodon citrinus","Gobiidae","Gobiidae",2,3,0,"C",0.0146223333333333,2.88026666666667
"139","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Gobiodon citrinus","Gobiidae","Gobiidae",1,4,0,"C",0.0146223333333333,2.88026666666667
"140","NR","9",2018,2018-09-06,"2018 b","NR_9_2018-09-06","Mai Lazarus","Pomacentrus trichrourus","Pomacentrus trichrourus","Pomacentridae",1,3,0,"C",0.02058,3
"141","NR","10",2018,2018-09-06,"2018 b","NR_10_2018-09-06","Shahar Malamud","Cirrhitichthys oxycephalus","Cirrhitichthys oxycephalus","Cirrhitidae",1,8,0,"C",0.0138,3.117
"142","NR","10",2018,2018-09-06,"2018 b","NR_10_2018-09-06","Shahar Malamud","Scarus fuscopurpureus","Scaridae","Scaridae",1,20,0,"T",0.0248134375,2.93332291666667
"143","NR","10",2018,2018-09-06,"2018 b","NR_10_2018-09-06","Shahar Malamud","Parupeneus forsskali","Mullidae","Mullidae",2,18,0,"T",0.007,3.1699
"144","NR","10",2018,2018-09-06,"2018 b","NR_10_2018-09-06","Shahar Malamud","Parupeneus forsskali","Mullidae","Mullidae",1,15,0,"T",0.007,3.1699
"145","NR","10",2018,2018-09-06,"2018 b","NR_10_2018-09-06","Shahar Malamud","Parupeneus forsskali","Mullidae","Mullidae",1,22,0,"T",0.007,3.1699
"146","NR","10",2018,2018-09-06,"2018 b","NR_10_2018-09-06","Shahar Malamud","Thalassoma rueppellii","Thalassoma spp.","Labridae",1,20,0,"T",0.01380875,3.041
"147","NR","10",2018,2018-09-06,"2018 b","NR_10_2018-09-06","Shahar Malamud","Thalassoma rueppellii","Thalassoma spp.","Labridae",2,18,0,"T",0.01380875,3.041
"148","NR","10",2018,2018-09-06,"2018 b","NR_10_2018-09-06","Shahar Malamud","Thalassoma rueppellii","Thalassoma spp.","Labridae",1,12,0,"T",0.01380875,3.041
